_id,season,player,pos,age,experience,tm,trb_per_game,ast_per_game,stl_per_game,blk_per_game,pts_per_game
66642cf9b27c93a68179e167,2024,A.J. Green,SG,24,2,MIL,1.1,0.5,0.2,0.1,4.5
66642cf9b27c93a68179e168,2024,A.J. Lawson,SG,23,2,DAL,1.2,0.5,0.2,0.1,3.2
66642cf9b27c93a68179e169,2024,AJ Griffin,SF,20,2,ATL,0.9,0.3,0.1,0.1,2.4
66642cf9b27c93a68179e16a,2024,Aaron Gordon,PF,28,10,DEN,6.5,3.5,0.8,0.6,13.9
66642cf9b27c93a68179e16b,2024,Aaron Holiday,PG,27,6,HOU,1.6,1.8,0.5,0.1,6.6
66642cf9b27c93a68179e16c,2024,Aaron Nesmith,SF,24,4,IND,3.8,1.5,0.9,0.7,12.2
66642cf9b27c93a68179e16d,2024,Aaron Wiggins,SG,25,3,OKC,2.4,1.1,0.7,0.2,6.9
66642cf9b27c93a68179e16e,2024,Adam Flagler,SG,24,1,OKC,0,2,0,0,1.5
66642cf9b27c93a68179e16f,2024,Adama Sanogo,PF,21,1,CHI,4,0,0.1,0,4
66642cf9b27c93a68179e170,2024,Admiral Schofield,PF,26,4,ORL,0.7,0.3,0,0,1.1
66642cf9b27c93a68179e171,2024,Al Horford,C,37,17,BOS,6.4,2.6,0.6,1,8.6
66642cf9b27c93a68179e172,2024,Alec Burks,SG,32,13,TOT,2.3,1.3,0.4,0.2,10.4
66642cf9b27c93a68179e173,2024,Alec Burks,SG,32,13,DET,2.6,1.6,0.5,0.3,12.6
66642cf9b27c93a68179e174,2024,Alec Burks,SG,32,13,NYK,1.7,0.9,0.3,0,6.5
66642cf9b27c93a68179e175,2024,Aleksej Pokusevski,PF,22,4,TOT,3.2,1.3,0.5,0.5,5.2
66642cf9b27c93a68179e176,2024,Aleksej Pokusevski,PF,22,4,OKC,1,0.5,0.1,0.1,1.2
66642cf9b27c93a68179e177,2024,Aleksej Pokusevski,PF,22,4,CHO,4.4,1.7,0.8,0.7,7.4
66642cf9b27c93a68179e178,2024,Alex Caruso,SG,29,7,CHI,3.8,3.5,1.7,1,10.1
66642cf9b27c93a68179e179,2024,Alex Fudge,SF,20,1,TOT,0.8,0,0.5,0,2.5
66642cf9b27c93a68179e17a,2024,Alex Fudge,SF,20,1,LAL,0.5,0,0,0,1
66642cf9b27c93a68179e17b,2024,Alex Fudge,SF,20,1,DAL,1.5,0,1.5,0,5.5
66642cf9b27c93a68179e17c,2024,Alex Len,C,30,11,SAC,2.7,1,0.2,0.7,2.5
66642cf9b27c93a68179e17d,2024,Alondes Williams,SG,24,2,MIA,0.1,0,0,0.1,0.7
66642cf9b27c93a68179e17e,2024,Alperen Sengun,C,21,3,HOU,9.3,5,1.2,0.7,21.1
66642cf9b27c93a68179e17f,2024,Amari Bailey,PG,19,1,CHO,0.9,0.7,0.3,0,2.3
66642cf9b27c93a68179e180,2024,Amen Thompson,SF,21,1,HOU,6.6,2.6,1.3,0.6,9.5
66642cf9b27c93a68179e181,2024,Amir Coffey,SF,26,5,LAC,2.1,1.1,0.6,0.2,6.6
66642cf9b27c93a68179e182,2024,Andre Drummond,C,30,12,CHI,9,0.5,0.9,0.6,8.4
66642cf9b27c93a68179e183,2024,Andre Jackson Jr.,SG,22,1,MIL,2,0.9,0.3,0.1,2.2
66642cf9b27c93a68179e184,2024,Andrew Funk,SG,24,1,CHI,0,0,0.2,0.2,0
66642cf9b27c93a68179e185,2024,Andrew Nembhard,PG,24,2,IND,2.1,4.1,0.9,0.1,9.2
66642cf9b27c93a68179e186,2024,Andrew Wiggins,SF,28,10,GSW,4.5,1.7,0.6,0.6,13.2
66642cf9b27c93a68179e187,2024,Anfernee Simons,SG,24,6,POR,3.6,5.5,0.5,0.1,22.6
66642cf9b27c93a68179e188,2024,Anthony Black,PG,20,1,ORL,2,1.3,0.5,0.3,4.6
66642cf9b27c93a68179e189,2024,Anthony Davis,C,30,12,LAL,12.6,3.5,1.2,2.3,24.7
66642cf9b27c93a68179e18a,2024,Anthony Edwards,SG,22,4,MIN,5.4,5.1,1.3,0.5,25.9
66642cf9b27c93a68179e18b,2024,Anthony Gill,PF,31,4,WAS,1.9,0.7,0.3,0.2,3.8
66642cf9b27c93a68179e18c,2024,Armoni Brooks,PG,25,3,BRK,1.8,0.5,0.1,0.1,4.2
66642cf9b27c93a68179e18d,2024,Ashton Hagans,PG,24,2,POR,2.4,2.8,0.6,0.5,4.2
66642cf9b27c93a68179e18e,2024,Ausar Thompson,SF,21,1,DET,6.4,1.9,1.1,0.9,8.8
66642cf9b27c93a68179e18f,2024,Austin Reaves,SG,25,3,LAL,4.3,5.5,0.8,0.3,15.9
66642cf9b27c93a68179e190,2024,Ayo Dosunmu,SG,24,3,CHI,2.8,3.2,0.9,0.5,12.2
66642cf9b27c93a68179e191,2024,Bam Adebayo,C,26,7,MIA,10.4,3.9,1.1,0.9,19.3
66642cf9b27c93a68179e192,2024,Ben Sheppard,SG,22,1,IND,1.6,0.9,0.6,0,4.4
66642cf9b27c93a68179e193,2024,Ben Simmons,PG,27,6,BRK,7.9,5.7,0.8,0.6,6.1
66642cf9b27c93a68179e194,2024,Bennedict Mathurin,SF,21,2,IND,4,2,0.6,0.2,14.5
66642cf9b27c93a68179e195,2024,Bilal Coulibaly,SF,19,1,WAS,4.1,1.7,0.9,0.8,8.4
66642cf9b27c93a68179e196,2024,Bismack Biyombo,C,31,13,TOT,5.2,1.3,0.3,0.9,4.4
66642cf9b27c93a68179e197,2024,Bismack Biyombo,C,31,13,MEM,6.4,1.7,0.3,1.1,5.2
66642cf9b27c93a68179e198,2024,Bismack Biyombo,C,31,13,OKC,1.8,0.2,0.1,0.3,1.8
66642cf9b27c93a68179e199,2024,Blake Wesley,SG,20,2,SAS,1.5,2.7,0.5,0.1,4.4
66642cf9b27c93a68179e19a,2024,Boban Marjanović,C,35,9,HOU,2.3,0.4,0.1,0.1,3.2
66642cf9b27c93a68179e19b,2024,Bobby Portis,PF,28,9,MIL,7.4,1.3,0.8,0.4,13.8
66642cf9b27c93a68179e19c,2024,Bogdan Bogdanović,SG,31,7,ATL,3.4,3.1,1.2,0.3,16.9
66642cf9b27c93a68179e19d,2024,Bojan Bogdanović,SF-PF,34,10,TOT,2.7,1.7,0.5,0.1,15.2
66642cf9b27c93a68179e19e,2024,Bojan Bogdanović,PF,34,10,DET,3.4,2.5,0.8,0.1,20.2
66642cf9b27c93a68179e19f,2024,Bojan Bogdanović,SF,34,10,NYK,2,0.9,0.2,0,10.4
66642cf9b27c93a68179e1a0,2024,Bol Bol,PF,24,5,PHO,3.2,0.4,0.2,0.6,5.2
66642cf9b27c93a68179e1a1,2024,Bones Hyland,PG,23,3,LAC,1.5,2.5,0.7,0.1,6.9
66642cf9b27c93a68179e1a2,2024,Bradley Beal,SG,30,12,PHO,4.4,5,1,0.5,18.2
66642cf9b27c93a68179e1a3,2024,Brandin Podziemski,SG,20,1,GSW,5.8,3.7,0.8,0.2,9.2
66642cf9b27c93a68179e1a4,2024,Brandon Boston Jr.,SF,22,3,LAC,1.6,0.4,0.3,0.3,5.2
66642cf9b27c93a68179e1a5,2024,Brandon Clarke,PF,27,5,MEM,5.3,1.5,0.8,1,11.3
66642cf9b27c93a68179e1a6,2024,Brandon Ingram,SF,26,8,NOP,5.1,5.7,0.8,0.6,20.8
66642cf9b27c93a68179e1a7,2024,Brandon Miller,SF,21,1,CHO,4.3,2.4,0.9,0.6,17.3
66642cf9b27c93a68179e1a8,2024,Brandon Williams,PG,24,2,DAL,0.8,1,0.1,0.1,3.2
66642cf9b27c93a68179e1a9,2024,Braxton Key,SF,26,3,DEN,0.9,0.5,0.1,0.1,1.1
66642cf9b27c93a68179e1aa,2024,Brice Sensabaugh,SF,20,1,UTA,3.2,1.7,0.4,0.2,7.5
66642cf9b27c93a68179e1ab,2024,Brook Lopez,C,35,16,MIL,5.2,1.6,0.5,2.4,12.5
66642cf9b27c93a68179e1ac,2024,Bruce Brown,PG-SG,27,6,TOT,4.2,2.9,0.9,0.3,10.8
66642cf9b27c93a68179e1ad,2024,Bruce Brown,SG,27,6,IND,4.7,3,1.1,0.2,12.1
66642cf9b27c93a68179e1ae,2024,Bruce Brown,PG,27,6,TOR,3.8,2.7,0.7,0.3,9.6
66642cf9b27c93a68179e1af,2024,Bruno Fernando,C,25,5,ATL,4.3,1,0.6,0.6,6.3
66642cf9b27c93a68179e1b0,2024,Bryce McGowens,SG,21,2,CHO,1.7,0.9,0.4,0.2,5.1
66642cf9b27c93a68179e1b1,2024,Buddy Boeheim,SF,24,2,DET,1,0.3,0,0.1,3.4
66642cf9b27c93a68179e1b2,2024,Buddy Hield,SF-SG,31,8,TOT,3.2,2.8,0.8,0.5,12.1
66642cf9b27c93a68179e1b3,2024,Buddy Hield,SF,31,8,IND,3.2,2.7,0.8,0.6,12
66642cf9b27c93a68179e1b4,2024,Buddy Hield,SG,31,8,PHI,3.2,3,0.8,0.3,12.2
66642cf9b27c93a68179e1b5,2024,CJ McCollum,PG,32,11,NOP,4.3,4.6,0.9,0.6,20
66642cf9b27c93a68179e1b6,2024,Cade Cunningham,PG,22,3,DET,4.3,7.5,0.9,0.4,22.7
66642cf9b27c93a68179e1b7,2024,Caleb Houstan,SF,21,2,ORL,1.4,0.5,0.3,0.1,4.3
66642cf9b27c93a68179e1b8,2024,Caleb Martin,SF,28,5,MIA,4.4,2.2,0.7,0.5,10
66642cf9b27c93a68179e1b9,2024,Cam Reddish,SF,24,5,LAL,2.1,1,1,0.3,5.4
66642cf9b27c93a68179e1ba,2024,Cam Thomas,SG,22,3,BRK,3.2,2.9,0.7,0.2,22.5
66642cf9b27c93a68179e1bb,2024,Cam Whitmore,SF,19,1,HOU,3.8,0.7,0.6,0.4,12.3
66642cf9b27c93a68179e1bc,2024,Cameron Johnson,PF,27,5,BRK,4.3,2.4,0.8,0.3,13.4
66642cf9b27c93a68179e1bd,2024,Cameron Payne,PG,29,9,TOT,1.5,2.6,0.5,0.1,7.4
66642cf9b27c93a68179e1be,2024,Cameron Payne,PG,29,9,MIL,1.3,2.3,0.5,0.1,6.2
66642cf9b27c93a68179e1bf,2024,Cameron Payne,PG,29,9,PHI,1.8,3.1,0.6,0.3,9.3
66642cf9b27c93a68179e1c0,2024,Caris LeVert,SG,29,8,CLE,4.1,5.1,1.1,0.5,14
66642cf9b27c93a68179e1c1,2024,Cason Wallace,SG,20,1,OKC,2.3,1.5,0.9,0.5,6.8
66642cf9b27c93a68179e1c2,2024,Cedi Osman,SF,28,7,SAS,2.5,1.7,0.5,0.2,6.8
66642cf9b27c93a68179e1c3,2024,Charles Bassey,C,23,3,SAS,4,1.1,0.4,0.9,3.3
66642cf9b27c93a68179e1c4,2024,Charlie Brown Jr.,SG,26,4,NYK,0.3,0,0,0.3,0.8
66642cf9b27c93a68179e1c5,2024,Chet Holmgren,C,21,1,OKC,7.9,2.4,0.6,2.3,16.5
66642cf9b27c93a68179e1c6,2024,Chimezie Metu,C,26,6,TOT,3.8,0.9,0.8,0.3,6.5
66642cf9b27c93a68179e1c7,2024,Chimezie Metu,C,26,6,PHO,3,0.5,0.5,0.2,5
66642cf9b27c93a68179e1c8,2024,Chimezie Metu,C,26,6,DET,6,1.9,1.7,0.5,10.5
66642cf9b27c93a68179e1c9,2024,Chris Boucher,PF,31,7,TOR,4.1,0.5,0.3,0.5,6.4
66642cf9b27c93a68179e1ca,2024,Chris Duarte,SF,26,3,SAC,1.8,0.7,0.5,0.1,3.9
66642cf9b27c93a68179e1cb,2024,Chris Livingston,SF,20,1,MIL,1,0.2,0.1,0,1.2
66642cf9b27c93a68179e1cc,2024,Chris Paul,PG,38,19,GSW,3.9,6.8,1.2,0.1,9.2
66642cf9b27c93a68179e1cd,2024,Christian Braun,SG,22,2,DEN,3.7,1.6,0.5,0.4,7.3
66642cf9b27c93a68179e1ce,2024,Christian Wood,PF,28,8,LAL,5.1,1,0.3,0.7,6.9
66642cf9b27c93a68179e1cf,2024,Chuma Okeke,SF,25,4,ORL,1.7,0.4,0.2,0.1,2.3
66642cf9b27c93a68179e1d0,2024,Clint Capela,C,29,10,ATL,10.6,1.2,0.6,1.5,11.5
66642cf9b27c93a68179e1d1,2024,Coby White,PG,23,5,CHI,4.5,5.1,0.7,0.2,19.1
66642cf9b27c93a68179e1d2,2024,Cody Martin,SF,28,5,CHO,3.9,3.7,1.1,0.6,7.5
66642cf9b27c93a68179e1d3,2024,Cody Zeller,C,31,11,NOP,2.6,0.9,0.2,0.1,1.8
66642cf9b27c93a68179e1d4,2024,Colby Jones,SG,21,1,SAC,1.3,0.7,0.2,0.2,2.1
66642cf9b27c93a68179e1d5,2024,Cole Anthony,PG,23,4,ORL,3.8,2.9,0.8,0.5,11.6
66642cf9b27c93a68179e1d6,2024,Cole Swider,SF,24,2,MIA,0.4,0.3,0.1,0.1,2.3
66642cf9b27c93a68179e1d7,2024,Colin Castleton,C,23,1,LAL,0.8,0.2,0.1,0,1.5
66642cf9b27c93a68179e1d8,2024,Collin Gillespie,PG,24,1,DEN,0.9,1.1,0.5,0,3.6
66642cf9b27c93a68179e1d9,2024,Collin Sexton,SG,25,6,UTA,2.6,4.9,0.8,0.2,18.7
66642cf9b27c93a68179e1da,2024,Corey Kispert,SF,24,3,WAS,2.8,2,0.5,0.2,13.4
66642cf9b27c93a68179e1db,2024,Cory Joseph,PG,32,13,GSW,1.2,1.6,0.2,0.1,2.4
66642cf9b27c93a68179e1dc,2024,Craig Porter Jr.,PG,23,1,CLE,2.1,2.3,0.4,0.3,5.6
66642cf9b27c93a68179e1dd,2024,D'Angelo Russell,PG,27,9,LAL,3.1,6.3,0.9,0.5,18
66642cf9b27c93a68179e1de,2024,D'Moi Hodge,SG,25,1,LAL,0,0.7,0.1,0.1,2
66642cf9b27c93a68179e1df,2024,D.J. Carton,SG,23,1,TOR,1,0.8,0.3,0,2.8
66642cf9b27c93a68179e1e0,2024,D.J. Wilson,PF,27,6,PHI,1,1,0,1,5
66642cf9b27c93a68179e1e1,2024,DaQuan Jeffries,SG,26,4,NYK,0.3,0.3,0,0.1,0.8
66642cf9b27c93a68179e1e2,2024,Daishen Nix,PG,21,3,MIN,0.2,0.4,0.3,0,1.8
66642cf9b27c93a68179e1e3,2024,Dalano Banton,PG,24,3,TOT,3.3,2.4,0.6,0.4,10.3
66642cf9b27c93a68179e1e4,2024,Dalano Banton,PG,24,3,BOS,1.5,0.8,0.2,0.1,2.3
66642cf9b27c93a68179e1e5,2024,Dalano Banton,PG,24,3,POR,4.8,3.6,0.9,0.6,16.7
66642cf9b27c93a68179e1e6,2024,Dalen Terry,SG,21,2,CHI,1.9,1.4,0.5,0.3,3.1
66642cf9b27c93a68179e1e7,2024,Damian Jones,C,28,8,CLE,1.6,0.4,0.2,0.3,2.7
66642cf9b27c93a68179e1e8,2024,Damian Lillard,PG,33,12,MIL,4.4,7,1,0.2,24.3
66642cf9b27c93a68179e1e9,2024,Daniel Gafford,C-PF,25,5,TOT,7.6,1.6,0.9,2.1,11
66642cf9b27c93a68179e1ea,2024,Daniel Gafford,C,25,5,WAS,8,1.5,1,2.2,10.9
66642cf9b27c93a68179e1eb,2024,Daniel Gafford,PF,25,5,DAL,6.9,1.6,0.7,1.9,11.2
66642cf9b27c93a68179e1ec,2024,Daniel Theis,C,31,7,TOT,4.1,1,0.4,0.9,6.3
66642cf9b27c93a68179e1ed,2024,Daniel Theis,C,31,7,IND,0,0,0,0,2
66642cf9b27c93a68179e1ee,2024,Daniel Theis,C,31,7,LAC,4.1,1,0.4,0.9,6.3
66642cf9b27c93a68179e1ef,2024,Danilo Gallinari,PF-SF,35,14,TOT,2.2,1.1,0.3,0.1,5.7
66642cf9b27c93a68179e1f0,2024,Danilo Gallinari,PF,35,14,WAS,2.9,1.2,0.2,0.1,7
66642cf9b27c93a68179e1f1,2024,Danilo Gallinari,SF,35,14,DET,2.3,2,0.3,0.3,8.7
66642cf9b27c93a68179e1f2,2024,Danilo Gallinari,SF,35,14,MIL,1.1,0.7,0.4,0.1,2.8
66642cf9b27c93a68179e1f3,2024,Danny Green,SG,36,15,PHI,1,0.5,0.5,0,0
66642cf9b27c93a68179e1f4,2024,Dante Exum,PG,28,7,DAL,2.7,2.9,0.4,0.1,7.8
66642cf9b27c93a68179e1f5,2024,Danuel House Jr.,SF,30,8,PHI,1.7,0.8,0.4,0.1,4.2
66642cf9b27c93a68179e1f6,2024,Dario Šarić,C,29,7,GSW,4.4,2.3,0.5,0.2,8
66642cf9b27c93a68179e1f7,2024,Dariq Whitehead,SF,19,1,BRK,2,1.5,0,0.5,1.5
66642cf9b27c93a68179e1f8,2024,Darius Bazley,PF,23,5,TOT,3.1,0.8,0.7,0.8,5.3
66642cf9b27c93a68179e1f9,2024,Darius Bazley,PF,23,5,PHI,0.3,0.7,0,0,0
66642cf9b27c93a68179e1fa,2024,Darius Bazley,PF,23,5,UTA,4.5,0.8,1,1.2,8
66642cf9b27c93a68179e1fb,2024,Darius Garland,PG,24,5,CLE,2.7,6.5,1.3,0.1,18
66642cf9b27c93a68179e1fc,2024,David Duke Jr.,SG,24,3,SAS,2.5,1.3,0.5,0,6.5
66642cf9b27c93a68179e1fd,2024,David Roddy,PF,22,2,TOT,3.2,1.2,0.4,0.2,6.5
66642cf9b27c93a68179e1fe,2024,David Roddy,PF,22,2,MEM,4.2,1.6,0.5,0.2,8.4
66642cf9b27c93a68179e1ff,2024,David Roddy,PF,22,2,PHO,0.6,0.2,0.1,0,1.3
66642cf9b27c93a68179e200,2024,Davion Mitchell,PG,25,3,SAC,1.3,1.9,0.2,0,5.3
66642cf9b27c93a68179e201,2024,Day'Ron Sharpe,C,22,3,BRK,6.4,1.4,0.4,0.7,6.8
66642cf9b27c93a68179e202,2024,De'Aaron Fox,PG,26,7,SAC,4.6,5.6,2,0.4,26.6
66642cf9b27c93a68179e203,2024,De'Andre Hunter,SF,26,5,ATL,3.9,1.5,0.7,0.3,15.6
66642cf9b27c93a68179e204,2024,De'Anthony Melton,SG,25,6,PHI,3.7,3,1.6,0.4,11.1
66642cf9b27c93a68179e205,2024,DeAndre Jordan,C,35,16,DEN,4.4,0.7,0.2,0.4,3.9
66642cf9b27c93a68179e206,2024,DeJon Jarreau,SG,26,2,MEM,4.9,2.9,0.7,0.2,4.8
66642cf9b27c93a68179e207,2024,DeMar DeRozan,SF,34,15,CHI,4.3,5.3,1.1,0.6,24
66642cf9b27c93a68179e208,2024,Dean Wade,PF,27,5,CLE,4,0.8,0.7,0.5,5.4
66642cf9b27c93a68179e209,2024,Deandre Ayton,C,25,6,POR,11.1,1.6,1,0.8,16.7
66642cf9b27c93a68179e20a,2024,Dejounte Murray,SG,27,7,ATL,5.3,6.4,1.4,0.3,22.5
66642cf9b27c93a68179e20b,2024,Delon Wright,PG,31,9,TOT,1.8,2.5,1.1,0.2,4.5
66642cf9b27c93a68179e20c,2024,Delon Wright,PG,31,9,WAS,1.8,2.5,1.1,0.2,4.1
66642cf9b27c93a68179e20d,2024,Delon Wright,PG,31,9,MIA,1.9,2.6,1.4,0.2,5.4
66642cf9b27c93a68179e20e,2024,Deni Avdija,SF,23,4,WAS,7.2,3.8,0.8,0.5,14.7
66642cf9b27c93a68179e20f,2024,Dennis Schröder,PG,30,11,TOT,3,6.1,0.8,0.2,14
66642cf9b27c93a68179e210,2024,Dennis Schröder,PG,30,11,TOR,2.7,6.1,0.9,0.2,13.7
66642cf9b27c93a68179e211,2024,Dennis Schröder,PG,30,11,BRK,3.5,6,0.6,0.3,14.6
66642cf9b27c93a68179e212,2024,Dennis Smith Jr.,PG,26,7,BRK,2.9,3.6,1.2,0.2,6.6
66642cf9b27c93a68179e213,2024,Dereck Lively II,C,19,1,DAL,6.9,1.1,0.7,1.4,8.8
